,Bill_No,Sponsor,did_it_pass,No. Cosponsors,dir_degree_centrality_sponsor,dir_pagerank_sponsor,dir_closeness_centrality_sponsor,dir_eigenvector_centrality_sponsor,dir_load_centrality_sponsor,dir_avg_degree_centrality_cosponsor,dir_avg_pagerank_cosponsor,dir_avg_closeness_centrality_cosponsor,dir_avg_eigenvector_centrality_cosponsor,dir_avg_load_centrality_cosponsor,und_degree_centrality_sponsor,und_pagerank_sponsor,und_closeness_centrality_sponsor,und_eigenvector_centrality_sponsor,und_load_centrality_sponsor,und_avg_degree_centrality_cosponsor,und_avg_pagerank_cosponsor,und_avg_closeness_centrality_cosponsor,und_avg_eigenvector_centrality_cosponsor,und_avg_load_centrality_cosponsor
44,146,"Sen. Akaka, Daniel K. [D-HI]",not_passed,9,0.39,0.035696485753492,0.18,0.265106008887665,0.014571309862977,0.176666666666667,0.013440314870293,0.195639323040944,0.077360383481696,0.00575068275917,0.33,0.019393217188529,0.574712643678161,0.147184368642711,0.031272560138808,0.166666666666667,0.010858600029987,0.535975834238756,0.091224075168681,0.009670735320414
160,262,"Sen. Akaka, Daniel K. [D-HI]",not_passed,8,0.46,0.025285013980819,0.28125,0.203760418784639,0.008876575753758,0.3225,0.018406221599672,0.30731980450953,0.101624470070886,0.010871647196483,0.39,0.015046809270922,0.617283950617284,0.125514730615989,0.017848032090561,0.2825,0.01313535140715,0.59754733596206,0.109539905077555,0.015487043905373
161,263,"Sen. Akaka, Daniel K. [D-HI]",passed,1,0.46,0.026512791370562,0.28125,0.218856286914366,0.008876575753758,0.53,0.037037142911251,0.31858407079646,0.278258178785549,0.017697202548777,0.39,0.015326567829907,0.617283950617284,0.12960247530031,0.017848032090561,0.44,0.017808692244801,0.641025641025641,0.156797569219878,0.018091144287825
177,280,"Sen. Akaka, Daniel K. [D-HI]",not_passed,0,0.46,0.023916199378832,0.293435114503817,0.203121181716425,0.007855572270976,0,0,0,0,0,0.39,0.014440842276138,0.617283950617284,0.12550860395161,0.014722068428624,0,0,0,0,0
218,323,"Sen. Akaka, Daniel K. [D-HI]",not_passed,5,0.51,0.021787635529879,0.335,0.189864157149443,0.009621809476265,0.422,0.01088146187864,0.386485746666842,0.081103375581884,0.008833724222173,0.41,0.014159176723131,0.625,0.128825791558047,0.012225248714739,0.354,0.012426777484217,0.610146594542537,0.127945395219314,0.006339411497911
284,392,"Sen. Akaka, Daniel K. [D-HI]",passed,4,0.53,0.01786286997965,0.393356643356643,0.157557666413789,0.007181530366957,0.455,0.006913188329458,0.445269639523383,0.045977313298378,0.010357390422459,0.43,0.011859752303682,0.636942675159236,0.109855324336527,0.00916237869512,0.38,0.010886589514641,0.618704539078565,0.107108709079476,0.005802932964307
327,435,"Sen. Akaka, Daniel K. [D-HI]",passed,1,0.54,0.01530140591737,0.408322147651007,0.137042063391884,0.007371953254158,0.62,0.022468543375497,0.4225,0.186566241533235,0.00598124344791,0.44,0.011115941228877,0.641025641025641,0.100010785363013,0.008555364952036,0.49,0.014750245554455,0.662251655629139,0.134506510279362,0.004752636333236
342,450,"Sen. Akaka, Daniel K. [D-HI]",not_passed,2,0.56,0.015168496868565,0.413877551020408,0.135142256617564,0.007420656046397,0.46,0.007561333793223,0.451536537625054,0.07158306177351,0.006709456615256,0.45,0.011352661560391,0.645161290322581,0.103659566309984,0.006842159181247,0.36,0.010321702344934,0.615615615615616,0.100663538526404,0.004981480148688
359,467,"Sen. Akaka, Daniel K. [D-HI]",passed,3,0.56,0.01561371801608,0.416066666666667,0.139186594735333,0.007001051954377,0.55,0.011938621201941,0.448263279725074,0.096994685913433,0.006627372448215,0.45,0.011612395404941,0.645161290322581,0.106787509681608,0.006930919129934,0.433333333333333,0.011810600150399,0.640542629781367,0.114408594227137,0.00400150037552
372,480,"Sen. Akaka, Daniel K. [D-HI]",not_passed,3,0.58,0.015470161812223,0.429530201342282,0.142575712963233,0.006737296543032,0.643333333333333,0.008726569046083,0.491648776105996,0.068150622749379,0.016132722795491,0.46,0.011814202473694,0.649350649350649,0.111241813388288,0.0061083643148,0.506666666666667,0.013350295774882,0.672783965837956,0.134481085448417,0.00774449964523
385,493,"Sen. Akaka, Daniel K. [D-HI]",not_passed,14,0.66,0.018062566026007,0.445298013245033,0.1688908489912,0.007693790429486,0.592857142857143,0.011189495579558,0.479286571433597,0.087953825681679,0.011529088825783,0.51,0.013499087853346,0.671140939597315,0.128281844782731,0.008269252557364,0.479285714285714,0.011913341330515,0.67088986465813,0.113886376264418,0.008764840690043
438,552,"Sen. Akaka, Daniel K. [D-HI]",not_passed,0,0.67,0.016401249937876,0.465157232704402,0.1548076109219,0.007576241866223,0,0,0,0,0,0.51,0.012482721318554,0.671140939597315,0.118318507012454,0.007851638280212,0,0,0,0,0
457,572,"Sen. Akaka, Daniel K. [D-HI]",not_passed,1,0.67,0.016148901017224,0.47219512195122,0.151330670202003,0.008571636241877,0.68,0.005647583777965,0.586666666666667,0.034322380755825,0.018878175715319,0.51,0.012328404712644,0.671140939597315,0.117693247184121,0.007443327924084,0.57,0.014885145724583,0.699300699300699,0.156419132935856,0.004999803145109
458,573,"Sen. Akaka, Daniel K. [D-HI]",not_passed,1,0.67,0.016198460413718,0.47219512195122,0.152135581602123,0.008571636241877,0.68,0.005647393014032,0.586666666666667,0.034314786099994,0.018878175715319,0.51,0.012456710207235,0.671140939597315,0.11991916352958,0.007443327924084,0.57,0.015016418372115,0.699300699300699,0.158124938644661,0.004999803145109
561,685,"Sen. Akaka, Daniel K. [D-HI]",not_passed,7,0.74,0.014405422606004,0.496932515337423,0.136929024230905,0.007647949691958,0.685714285714286,0.010119286374595,0.563495595834135,0.078124459222724,0.008657446509858,0.55,0.011165076691586,0.689655172413793,0.107743521185702,0.007112653762834,0.534285714285714,0.010992443744617,0.699131366437859,0.105453146050309,0.00502499173474
586,711,"Sen. Akaka, Daniel K. [D-HI]",not_passed,3,0.76,0.014051216896628,0.517904191616766,0.132596856381355,0.007074993046057,0.473333333333333,0.004083476115076,0.554585129704056,0.018459959316618,0.00586963998781,0.57,0.011280439263789,0.699300699300699,0.107779942922872,0.007179314489175,0.42,0.007786358971776,0.636581532282536,0.068534645558052,0.003481941937938
