,Models,Parameters,AUPRC,AUROC,F1 at 0.1,Precision at 0.1,Recall at 0.1,Accuracy at 0.1,F1 at 0.3,Precision at 0.3,Recall at 0.3,Accuracy at 0.3,F1 at 0.5,Precision at 0.5,Recall at 0.5,Accuracy at 0.5,F1 at 0.7,Precision at 0.7,Recall at 0.7,Accuracy at 0.7,F1 at 0.9,Precision at 0.9,Recall at 0.9,Accuracy at 0.9
0,RF,"{'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10, 'n_estimators': 1}",0.1179909330576503,0.6249008291487256,0.24701195219123503,0.17714285714285713,0.40789473684210525,0.7616645649432535,0.10909090909090909,0.17647058823529413,0.07894736842105263,0.8764186633039092,0.09345794392523364,0.16129032258064516,0.06578947368421052,0.8776796973518285,0.0784313725490196,0.15384615384615385,0.05263157894736842,0.8814627994955864,0.06593406593406594,0.2,0.039473684210526314,0.89281210592686
1,RF,"{'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 100, 'n_estimators': 1}",0.13171731049580113,0.5569713199972438,0.2450980392156863,0.1953125,0.32894736842105265,0.8058007566204287,0.21348314606741572,0.18627450980392157,0.25,0.8234552332912989,0.16901408450704225,0.18181818181818182,0.15789473684210525,0.8511979823455234,0.12173913043478261,0.1794871794871795,0.09210526315789473,0.8726355611601513,0.08163265306122448,0.18181818181818182,0.05263157894736842,0.8865069356872636
2,RF,"{'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 5, 'n_estimators': 1}",0.13202632903745135,0.6591915340562965,0.2766990291262136,0.16964285714285715,0.75,0.6242118537200504,0.0625,0.15,0.039473684210526314,0.8865069356872636,0.06741573033707864,0.23076923076923078,0.039473684210526314,0.8953341740226987,0.07317073170731707,0.5,0.039473684210526314,0.9041614123581336,0.07407407407407407,0.6,0.039473684210526314,0.905422446406053
3,RF,"{'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5, 'n_estimators': 1}",0.13278020165338897,0.625951191613921,0.2641509433962264,0.16610169491525423,0.6447368421052632,0.6557377049180327,0.1692307692307692,0.2037037037037037,0.14473684210526316,0.8638083228247163,0.07142857142857142,0.375,0.039473684210526314,0.9016393442622951,0.07228915662650602,0.42857142857142855,0.039473684210526314,0.9029003783102144,0.0,0.0,0.0,0.9016393442622951
4,RF,"{'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10, 'n_estimators': 1}",0.13339976370703258,0.6440037913584927,0.16483516483516483,0.14150943396226415,0.19736842105263158,0.8083228247162674,0.13333333333333333,0.15254237288135594,0.11842105263157894,0.8524590163934426,0.12068965517241378,0.175,0.09210526315789473,0.8713745271122321,0.1020408163265306,0.22727272727272727,0.06578947368421052,0.8890290037831021,0.08602150537634408,0.23529411764705882,0.05263157894736842,0.89281210592686
5,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 25, 'weights': 'uniform'}",0.1381017696310751,0.6180366282552295,0.20231213872832368,0.12962962962962962,0.4605263157894737,0.6519546027742749,0.04819277108433735,0.2857142857142857,0.02631578947368421,0.9003783102143758,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
6,RF,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10, 'n_estimators': 1}",0.1395387651642858,0.6289843141107971,0.16551724137931034,0.17391304347826086,0.15789473684210525,0.8474148802017655,0.13008130081300812,0.1702127659574468,0.10526315789473684,0.8650693568726355,0.13008130081300812,0.1702127659574468,0.10526315789473684,0.8650693568726355,0.09259259259259259,0.15625,0.06578947368421052,0.8764186633039092,0.09259259259259259,0.15625,0.06578947368421052,0.8764186633039092
7,RF,"{'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 1}",0.14024863211899644,0.6726556387678532,0.29041095890410956,0.18339100346020762,0.6973684210526315,0.6733921815889029,0.08695652173913043,0.25,0.05263157894736842,0.8940731399747793,0.07058823529411765,0.3333333333333333,0.039473684210526314,0.9003783102143758,0.07058823529411765,0.3333333333333333,0.039473684210526314,0.9003783102143758,0.0,0.0,0.0,0.9003783102143758
8,RF,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 1}",0.14502804204398023,0.6874982477050894,0.2096774193548387,0.2708333333333333,0.17105263157894737,0.8764186633039092,0.1414141414141414,0.30434782608695654,0.09210526315789473,0.89281210592686,0.14583333333333331,0.35,0.09210526315789473,0.8965952080706179,0.13186813186813187,0.4,0.07894736842105263,0.9003783102143758,0.09195402298850575,0.36363636363636365,0.05263157894736842,0.9003783102143758
9,KNN,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.14559249293532592,0.5689354175843487,0.22857142857142856,0.1506276150627615,0.47368421052631576,0.6935687263556116,0.2096774193548387,0.2708333333333333,0.17105263157894737,0.8764186633039092,0.15217391304347827,0.4375,0.09210526315789473,0.9016393442622951,0.025641025641025637,0.5,0.013157894736842105,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
10,RF,"{'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1, 'n_estimators': 1}",0.14924307663602374,0.5259391037686392,0.14285714285714285,0.2222222222222222,0.10526315789473684,0.8789407313997478,0.14285714285714285,0.2222222222222222,0.10526315789473684,0.8789407313997478,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
11,RF,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 1}",0.151643368541967,0.6603656707920283,0.21016949152542372,0.1415525114155251,0.40789473684210525,0.7061790668348046,0.0784313725490196,0.15384615384615385,0.05263157894736842,0.8814627994955864,0.08247422680412371,0.19047619047619047,0.05263157894736842,0.8877679697351829,0.045454545454545456,0.16666666666666666,0.02631578947368421,0.8940731399747793,0.023529411764705882,0.1111111111111111,0.013157894736842105,0.8953341740226987
12,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.15192947224978995,0.5760752281286177,0.22,0.14732142857142858,0.4342105263157895,0.7049180327868853,0.23776223776223776,0.2537313432835821,0.2236842105263158,0.862547288776797,0.15384615384615383,0.4666666666666667,0.09210526315789473,0.9029003783102144,0.09876543209876543,0.8,0.05263157894736842,0.9079445145018915,0.025974025974025976,1.0,0.013157894736842105,0.905422446406053
13,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.15295040031460988,0.6029667967151634,0.2192982456140351,0.13157894736842105,0.6578947368421053,0.5510718789407314,0.22857142857142856,0.25,0.21052631578947367,0.8638083228247163,0.02531645569620253,0.3333333333333333,0.013157894736842105,0.9029003783102144,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
14,RF,"{'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 100, 'n_estimators': 1}",0.1536142925303182,0.5274945455183787,0.2547770700636943,0.24691358024691357,0.2631578947368421,0.8524590163934426,0.2567567567567568,0.2638888888888889,0.25,0.8612862547288777,0.21739130434782608,0.24193548387096775,0.19736842105263158,0.8638083228247163,0.1889763779527559,0.23529411764705882,0.15789473684210525,0.8701134930643127,0.180327868852459,0.2391304347826087,0.14473684210526316,0.8738965952080706
15,RF,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20, 'n_estimators': 1}",0.15425551202809287,0.5540555408636735,0.21656050955414013,0.20987654320987653,0.2236842105263158,0.8448928121059268,0.21333333333333335,0.21621621621621623,0.21052631578947367,0.8511979823455234,0.19444444444444445,0.20588235294117646,0.18421052631578946,0.8537200504413619,0.16129032258064516,0.20833333333333334,0.13157894736842105,0.8688524590163934,0.13559322033898305,0.19047619047619047,0.10526315789473684,0.8713745271122321
16,RF,"{'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1, 'n_estimators': 10}",0.156555205952659,0.7083121917583318,0.15706806282722516,0.13043478260869565,0.19736842105263158,0.7969735182849937,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
17,RF,"{'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 20, 'n_estimators': 1}",0.157981959882975,0.6110429767638518,0.24242424242424243,0.19672131147540983,0.3157894736842105,0.8108448928121059,0.2171428571428571,0.1919191919191919,0.25,0.8272383354350568,0.23841059602649006,0.24,0.23684210526315788,0.8549810844892812,0.12612612612612611,0.2,0.09210526315789473,0.8776796973518285,0.10101010101010101,0.21739130434782608,0.06578947368421052,0.8877679697351829
18,RF,"{'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 100, 'n_estimators': 1}",0.1582000743419719,0.5212861381026331,0.16901408450704225,0.18181818181818182,0.15789473684210525,0.8511979823455234,0.16901408450704225,0.18181818181818182,0.15789473684210525,0.8511979823455234,0.16901408450704225,0.18181818181818182,0.15789473684210525,0.8511979823455234,0.16901408450704225,0.18181818181818182,0.15789473684210525,0.8511979823455234,0.16901408450704225,0.18181818181818182,0.15789473684210525,0.8511979823455234
